word,example,meaning,pronunciation,audio_files
anyway,(Let's try anyway.),とにかく,（とにかくやってみよう。）,"01-01.mp3, 01-02.mp3"
following,"(Following the speech, we had dinner.)",～に続いて,（スピーチに続いて、夕食をとった。）,"01-03.mp3, 01-04.mp3"
refer,(Please refer to the map.),参照する,（地図を参照してください。）,"01-05.mp3, 01-06.mp3"
available,(Tickets are available online.),入手できる,（チケットはオンラインで入手可能です。）,"01-07.mp3, 01-08.mp3"
department,(the sales department),部門,（営業部）,"01-09.mp3, 01-10.mp3"
conference,(a large conference room),会議,（大きな会議室）,"01-11.mp3, 01-12.mp3"
according to,(according to the e-mail),～によると,（メールによると）,"01-13.mp3, 01-14.mp3"
likely,(Who most likely is the woman?),おそらく,（女性はおそらく誰ですか。）,"01-15.mp3, 01-16.mp3"
offer,(What does the man offer to do?),申し出る,（男性は何をすることを申し出ていますか。）,"01-17.mp3, 01-18.mp3"
equipment,(new office equipment),機器,（新しいオフィス機器）,"01-19.mp3, 01-20.mp3"
provide,(Please provide me with your e-mail address.),提供する,（あなたのメールアドレスを提供してください。）,"01-21.mp3, 01-22.mp3"
local,(local businesses),地元の,（地元の会社）,"01-23.mp3, 01-24.mp3"
purchase,(purchase tickets),購入する,（チケットを購入する）,"01-25.mp3, 01-26.mp3"
opening,(a job opening),空き,（仕事の空き）,"01-27.mp3, 01-28.mp3"
construction,(construction project),建設,（建設プロジェクト）,"01-29.mp3, 01-30.mp3"
tour,(while touring the factory),見学する,（工場を見学している間）,"01-31.mp3, 01-32.mp3"
research,(market research),調査,（市場調査）,"01-33.mp3, 01-34.mp3"
attend,(attend a meeting),出席する,（会議に出席する）,"01-35.mp3, 01-36.mp3"
delivery,(change a delivery date),配達,（配達日を変更する）,"01-37.mp3, 01-38.mp3"
recently,(I recently bought a printer.),最近,（私は最近プリンターを買った。）,"01-39.mp3, 01-40.mp3"
indicate,(What is indicated about Mr. Kato ?),示す,（加藤さんについて何が示されていますか。）,"01-41.mp3, 01-42.mp3"
employee,(an employee of a hotel),従業員,（ホテルの従業員）,"01-43.mp3, 01-44.mp3"
additional,(request additional staff),追加の,（追加のスタッフを要請する）,"01-45.mp3, 01-46.mp3"
survey,(a customer survey),アンケート調査,（顧客アンケート調査）,"01-47.mp3, 01-48.mp3"
review,(review a report),論評する,（報告書に目を通す）,"01-49.mp3, 01-50.mp3"
production,(the production area),生産,（生産エリア）,"01-51.mp3, 01-52.mp3"
located,(conveniently located near a subway station),位置して,（地下鉄の駅近くの便利な場所にある）,"01-53.mp3, 01-54.mp3"
detail,(details of a plan),詳細,（計画の詳細）,"01-55.mp3, 01-56.mp3"
announce,(announce the winners),発表する,（入賞者を発表する）,"01-57.mp3, 01-58.mp3"
repair,(a computer repair shop),修理,（コンピュータの修理店）,"01-59.mp3, 01-60.mp3"
increase,(an increase in sales),増加,（売上の増加）,"01-61.mp3, 01-62.mp3"
include,(What is NOT included in the form?),含む,（用紙に含まれていないのは何ですか。）,"01-63.mp3, 01-64.mp3"
currently,(The item is currently out of stock.),現在,（その品は現在在庫切れです。）,"01-65.mp3, 01-66.mp3"
advertising,(an advertising campaign),広告,（広告キャンペーン）,"01-67.mp3, 01-68.mp3"
charge,(We charge $50 for the service.),請求する,（そのサービスには50ドルを請求します。）,"01-69.mp3, 01-70.mp3"
expect,(Mr. Kato is expected to arrive tomorrow.),予定する,（加藤さんは明日到着する予定だ。）,"01-71.mp3, 01-72.mp3"
firm,(a family-owned firm),会社,（家族経営の会社）,"01-73.mp3, 01-74.mp3"
client,(visit a client),顧客,（顧客を訪問する）,"01-75.mp3, 01-76.mp3"
financial,(financial support from the government),お金の,（政府からのお金の支援）,"01-77.mp3, 01-78.mp3"
annual,(an annual report),年間の,（年次報告書）,"01-79.mp3, 01-80.mp3"
payment,(make an online payment),支払,（オンラインの支払をする）,"01-81.mp3, 01-82.mp3"
budget,(this year's budget),予算,（今年の予算）,"01-83.mp3, 01-84.mp3"
application,(fill out an application),応募書類,（応募書類に記入する）,"01-85.mp3, 01-86.mp3"
contract,(before signing a contract),契約,（契約に署名する前に）,"01-87.mp3, 01-88.mp3"
management,(a management seminar),経営,（経営セミナー）,"01-89.mp3, 01-90.mp3"
performance,(an employee's performance),業績,（従業員の成績）,"01-91.mp3, 01-92.mp3"
pleased,(We are pleased with the final result.),満足して,（最終結果に満足している。）,"01-93.mp3, 01-94.mp3"
confirm,(confirm a payment),確認する,（支払を確認する）,"01-95.mp3, 01-96.mp3"
award,(awards ceremony),賞,（授賞式）,"01-97.mp3, 01-98.mp3"
clothing,(a clothing store),衣類,（衣料品店）,"01-99.mp3, 01-100.mp3"
display,(products on display),展示する,（展示されている製品）,"01-101.mp3, 01-102.mp3"
candidate,(a successful candidate),候補者,（合格した候補者）,"01-103.mp3, 01-104.mp3"
state,(What is stated about the hotel?),述べる,（ホテルについて何が述べられていますか。）,"01-105.mp3, 01-106.mp3"
exhibit,(a museum exhibit),展示物,（博物館の展示物）,"01-107.mp3, 01-108.mp3"
session,(a Q&A session),時間,（質疑応答の時間）,"01-109.mp3, 01-110.mp3"
note,(Please note that prices may change.),注意する,（値段は変更になる場合があるので、注意してください）,"01-111.mp3, 01-112.mp3"
process,(process an order),処理する,（注文を処理する）,"01-113.mp3, 01-114.mp3"
instruction,(Please read all the instructions.),説明書,（説明書をすべてお読みください。）,"01-115.mp3, 01-116.mp3"
membership,(sign up for membership),会員,（会員登録する）,"01-117.mp3, 01-118.mp3"
agency,(a travel agency),代理店,（旅行代理店）,"01-119.mp3, 01-120.mp3"
based,(a Seattle-based company),拠点のある,（シアトルに拠点を置く会社）,"01-121.mp3, 01-122.mp3"
facility,(a research facility),施設,（研究施設）,"01-123.mp3, 01-124.mp3"
advance,(advance notice),事前の,（事前の告知）,"01-125.mp3, 01-126.mp3"
committee,(join a committee),委員会,（委員会に入る）,"01-127.mp3, 01-128.mp3"
successful,(The event was successful.),成功した,（そのイベントは成功だった。）,"01-129.mp3, 01-130.mp3"
excellent,(excellent service),素晴らしい,（素晴らしいサービス）,"01-131.mp3, 01-132.mp3"
industry,(the fashion industry),業界,（ファッション業界）,"01-133.mp3, 01-134.mp3"
fee,(pay a late fee),料金,（延滞料金を払う）,"01-135.mp3, 01-136.mp3"
accept,(accept an offer),受け入れる,（オファーを受け入れる）,"01-137.mp3, 01-138.mp3"
upcoming,(prepare for an upcoming event),今度の,（今度のイベントの準備をする）,"01-139.mp3, 01-140.mp3"
latest,(Haruki Murakami's latest novel),最新の,（村上春樹の最新の小説）,"01-141.mp3, 01-142.mp3"
submit,(submit a report),提出する,（レポートを提出する）,"01-143.mp3, 01-144.mp3"
transportation,(use public transportation),輸送手段,（公共の交通機関を利用する）,"01-145.mp3, 01-146.mp3"
résumé,(send a résumé),履歴書,（履歴書を送る）,"01-147.mp3, 01-148.mp3"
executive,(a company executive),重役,（会社の重役）,"01-149.mp3, 01-150.mp3"
introduce,(introduce a new line of products),導入する,（新たな商品ラインを導入する）,"01-151.mp3, 01-152.mp3"
previous,(have no previous experience),以前の,（以前の経験がない）,"01-153.mp3, 01-154.mp3"
proposal,(review a proposal),提案,（提案に目を通す）,"01-155.mp3, 01-156.mp3"
supply,(office supplies),必需品,（オフィス用品）,"01-157.mp3, 01-158.mp3"
enclose,(My r?sum? is enclosed.),同封する,（履歴書を同封いたします。）,"01-159.mp3, 01-160.mp3"
policy,(returns policy),規定,（返品規定）,"01-161.mp3, 01-162.mp3"
register,(register for employee training),登録する,（社員研修に登録する）,"01-163.mp3, 01-164.mp3"
arrange,(arrange a meeting),手配する,（会議の手配をする）,"01-165.mp3, 01-166.mp3"
bill,(receive a bill),請求書,（請求書を受け取る）,"01-167.mp3, 01-168.mp3"
hire,(hire an assistant),雇う,（アシスタントを雇う）,"01-169.mp3, 01-170.mp3"
approve,(approve a plan),承認する,（計画を承認する）,"01-171.mp3, 01-172.mp3"
conduct,(conduct a survey),実施する,（アンケート調査を行う）,"01-173.mp3, 01-174.mp3"
opportunity,(an opportunity to work with you),機会,（あなたとお仕事をする機会）,"01-175.mp3, 01-176.mp3"
deadline,(the deadline for the project),締め切り,（プロジェクトの締め切り）,"01-177.mp3, 01-178.mp3"
corporate,(a corporate trainer),企業の,（企業のトレーナー）,"01-179.mp3, 01-180.mp3"
warranty,(a three-year warranty),保証,（3年保証）,"01-181.mp3, 01-182.mp3"
necessary,(necessary forms),必要な,（必要な用紙）,"01-183.mp3, 01-184.mp3"
reserve,(reserve a room at a hotel),予約する,（ホテルの部屋を予約する）,"01-185.mp3, 01-186.mp3"
resident,(local residents),住民,（地元の住民）,"01-187.mp3, 01-188.mp3"
create,(create a new logo),作り出す,（新しいロゴを作り出す）,"01-189.mp3, 01-190.mp3"
inform,(We are happy to inform you that),知らせる,（～を知らせることができて嬉しい）,"01-191.mp3, 01-192.mp3"
allow,(allow customers to pay online),可能にする,（顧客がオンラインで支払うことを可能にする）,"01-193.mp3, 01-194.mp3"
mention,(What problem does the man mention?),述べる,（男性はどんな問題について述べていますか。）,"01-195.mp3, 01-196.mp3"
appreciate,(I really appreciate your help.),感謝する,（助けて頂いて本当に感謝しています。）,"01-197.mp3, 01-198.mp3"
replacement,(replacement parts),交換品,（交換部品）,"01-199.mp3, 01-200.mp3"
update,(traffic updates),最新情報,(交通の最新情報),"02-01.mp3, 02-02.mp3"
branch,(open a new branch),支店,(新しい支店をオープンする),"02-03.mp3, 02-04.mp3"
paid,(paid leave),有給の,(有給休暇),"02-05.mp3, 02-06.mp3"
unfortunately,"(Unfortunately, there are some problems.)",残念なことに,(残念なことに、いくつか問題があります。),"02-07.mp3, 02-08.mp3"
original,(in original condition),元の,（元の状態で）,"02-09.mp3, 02-10.mp3"
rent,(a rent increase),家賃,（家賃の値上げ）,"02-11.mp3, 02-12.mp3"
memo,(write a memo),社内文書,（社内文書を書く）,"02-13.mp3, 02-14.mp3"
luggage,(shop for luggage),旅行かばん,（旅行かばんを買い求める）,"02-15.mp3, 02-16.mp3"
editor,(a newspaper editor),編集者,（新聞の編集者）,"02-17.mp3, 02-18.mp3"
exhibition,(an art exhibition),展示会,（美術展）,"02-19.mp3, 02-20.mp3"
leading,(a leading company),首位の,（トップの会社）,"02-21.mp3, 02-22.mp3"
organization,(lead an organization),組織,（組織を率いる）,"02-23.mp3, 02-24.mp3"
release,(release a new album),発売する,（ニューアルバムを発売する）,"02-25.mp3, 02-26.mp3"
limited,(for a limited time),限られた,（期間限定で）,"02-27.mp3, 02-28.mp3"
procedure,(a normal procedure),手続き,（通常の手続き）,"02-29.mp3, 02-30.mp3"
experienced,(an experienced engineer),経験豊富な,（経験豊かなエンジニア）,"02-31.mp3, 02-32.mp3"
personnel,(all company personnel),社員,（全社員）,"02-33.mp3, 02-34.mp3"
